Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Total Population,Population Density,Housing Units,Occupied Units,Vacant Units,White Pop,Black Pop,Am Indian Alaskan Native Pop,Asian,Native Hawaiian or PI,Other,Two or More Races,Non Hispanic,Hispanic
6025010101,Census Tract 101.01,"Census Tract 101.01, Imperial County, California",0,6,25,,10101,3499,23.90041443,161,120,41,536,964,54,35,6,1829,75,1574,1925
6025010102,Census Tract 101.02,"Census Tract 101.02, Imperial County, California",0,6,25,,10102,4738,52.47472563,1591,1434,157,1366,120,84,97,16,1786,1269,676,4062
6025010200,Census Tract 102,"Census Tract 102, Imperial County, California",0,6,25,,10200,2293,31.66722392,779,727,52,776,24,31,18,0,741,703,328,1965
6025010300,Census Tract 103,"Census Tract 103, Imperial County, California",0,6,25,,10300,802,4.441169899,297,280,17,405,0,5,3,1,233,155,308,494
6025010401,Census Tract 104.01,"Census Tract 104.01, Imperial County, California",0,6,25,,10401,2748,3074.275963,802,764,38,789,69,53,29,1,1285,522,190,2558
6025010402,Census Tract 104.02,"Census Tract 104.02, Imperial County, California",0,6,25,,10402,4367,2930.829285,1408,1361,47,1279,54,53,56,2,1616,1307,198,4169
6025010500,Census Tract 105,"Census Tract 105, Imperial County, California",0,6,25,,10500,6714,4790.899845,2176,2084,92,2127,119,89,130,1,2469,1779,1048,5666
6025010600,Census Tract 106,"Census Tract 106, Imperial County, California",0,6,25,,10600,7985,2402.086477,2744,2613,131,2946,112,86,181,14,2460,2186,1984,6001
6025010700,Census Tract 107,"Census Tract 107, Imperial County, California",0,6,25,,10700,4713,2185.273338,1492,1432,60,1200,76,91,27,10,2025,1284,253,4460
6025010800,Census Tract 108,"Census Tract 108, Imperial County, California",0,6,25,,10800,1297,11.58426054,472,427,45,643,2,18,20,3,328,283,556,741
6025010900,Census Tract 109,"Census Tract 109, Imperial County, California",0,6,25,,10900,6403,1024.34091,2059,1954,105,2029,36,99,48,2,2559,1630,1012,5391
6025011001,Census Tract 110.01,"Census Tract 110.01, Imperial County, California",0,6,25,,11001,6362,97.76382488,1860,1796,64,1790,140,104,134,8,2235,1951,1108,5254
6025011002,Census Tract 110.02,"Census Tract 110.02, Imperial County, California",0,6,25,,11002,9436,2119.491814,2999,2884,115,3000,160,155,268,10,2933,2910,1950,7486
6025011100,Census Tract 111,"Census Tract 111, Imperial County, California",0,6,25,,11100,3293,42.29866622,1232,1050,182,1118,105,48,43,7,1148,824,876,2417
6025011201,Census Tract 112.01,"Census Tract 112.01, Imperial County, California",0,6,25,,11201,8254,1479.806893,2705,2576,129,2394,123,152,261,4,2761,2559,1511,6743
6025011202,Census Tract 112.02,"Census Tract 112.02, Imperial County, California",0,6,25,,11202,5508,8675.431443,2013,1907,106,1244,79,83,56,3,2305,1738,405,5103
6025011301,Census Tract 113.01,"Census Tract 113.01, Imperial County, California",0,6,25,,11301,3549,3547.519349,1008,965,43,658,6,81,5,1,1641,1157,84,3465
6025011302,Census Tract 113.02,"Census Tract 113.02, Imperial County, California",0,6,25,,11302,1672,255.725151,553,529,24,308,10,36,7,0,823,488,134,1538
